JobName : 643494-1-1-XWafer_YWafer
SerialNum : 643494-1-1-XWafer ; 643494-1-1-YWafer
DateTime : August 1, 2025 09:27:17 EDT
OperatorName : bmowry
LaserID : Renishaw 1 : Mirror 1
StageLabel : ALS20035-ES15925-03 ; ALS20035-ES15925-04
Calibrated : 1 ; 1
CoefficientOfThermalExpansion : 7.5 ; 7.5
ControllerVerison : Automation1 2.10.2
Iterations : 1
BiDirectional : 0
ConversionFactor : 1
BacklashDistance : 0 ; 0
CountsPerUnit : 100000 ; 100000
TestType : Accuracy2D
OpticLocation : 25.4mm above TWafer tt
Payload : 1.4kg
CalibrationFile : None
HomePositionSet : 0 ; 0
TestOrientation : Lower Axis ; Upper Axis
MotionDirection : 1 ; 1
AmplifierType : ACBrushlessLinear Rev(-) @ 7.3 Amps ; ACBrushlessLinear Rev(-) @ 7.3 Amps
MoveVelocity : 5
MoveAcceleration : 75
AxisIndex : 6 ; 5
EncoderFamily : I ; I
HomeOffset : -148.659945 ; -199.206036
HomeDirection : U ; U
GantryAxes : -1 ; -1
StageSerialNumber : 518496-01 ; 518497-01

DBase Info
DriveEncoderMultiplier : 2000 ; 2000
DriveFeedbackType : Incremental Encoder Sine Wave ; Incremental Encoder Sine Wave
StepSize : 5 ; 5
TestLength : 350 ; 350
FirmwareVersion : 2.10.2.2512

Ignored

       Position1         LaserData1       Position2         LaserData2   AirTemp   MatTemp  Pressure  Humidity
:START
    150.00000000          150.00518     10.00000000            9.93092     21.15     21.31    740.01     66.00
    155.00000000          155.00520     10.00000000            9.92812     21.15     21.31    740.01     66.00
    160.00000000          160.00520     10.00000000            9.92531     21.15     21.31    740.01     66.00
    165.00000000          165.00562     10.00000000            9.92231     21.15     21.31    740.01     66.00
    170.00000000          170.00492     10.00000000            9.92010     21.15     21.31    740.01     66.00
    175.00000000          175.00405     10.00000000            9.91789     21.15     21.31    740.01     66.00
    180.00000000          180.00365     10.00000000            9.91583     21.15     21.31    740.01     66.00
    185.00000000          185.00410     10.00000000            9.91360     21.15     21.31    740.01     66.00
    190.00000000          190.00406     10.00000000            9.91184     21.15     21.31    740.01     66.00
    195.00000000          195.00401     10.00000000            9.91022     21.15     21.31    740.01     66.00
    200.00000000          200.00391     10.00000000            9.90885     21.15     21.31    740.01     66.00
    205.00000000          205.00396     10.00000000            9.90734     21.15     21.31    740.01     66.00
    210.00000000          210.00352     10.00000000            9.90574     21.15     21.31    740.01     66.00
    215.00000000          215.00332     10.00000000            9.90347     21.15     21.31    740.01     66.00
    220.00000000          220.00323     10.00000000            9.90147     21.15     21.31    740.01     66.00
    225.00000000          225.00311     10.00000000            9.89911     21.15     21.31    740.01     66.00
    230.00000000          230.00298     10.00000000            9.89682     21.15     21.31    740.01     66.00
    235.00000000          235.00304     10.00000000            9.89416     21.15     21.31    740.01     66.00
    240.00000000          240.00345     10.00000000            9.89134     21.15     21.31    740.01     66.00
    245.00000000          245.00371     10.00000000            9.88833     21.15     21.31    740.01     66.00
    250.00000000          250.00421     10.00000000            9.88528     21.15     21.31    740.01     66.00
    255.00000000          255.00476     10.00000000            9.88194     21.15     21.31    740.01     66.00
    260.00000000          260.00566     10.00000000            9.87938     21.15     21.31    740.01     66.00
    265.00000000          265.00537     10.00000000            9.87722     21.15     21.31    740.01     66.00
    270.00000000          270.00482     10.00000000            9.87574     21.15     21.31    740.01     66.00
    275.00000000          275.00443     10.00000000            9.87402     21.15     21.31    740.01     66.00
    280.00000000          280.00394     10.00000000            9.87240     21.15     21.31    740.01     66.00
    285.00000000          285.00380     10.00000000            9.87031     21.15     21.31    740.01     66.00
    290.00000000          290.00382     10.00000000            9.86818     21.15     21.31    740.01     66.00
    295.00000000          295.00393     10.00000000            9.86545     21.15     21.31    740.01     66.00
    300.00000000          300.00401     10.00000000            9.86314     21.15     21.31    740.01     66.00
    305.00000000          305.00410     10.00000000            9.86045     21.15     21.31    740.01     66.00
    310.00000000          310.00400     10.00000000            9.85806     21.15     21.31    740.01     66.00
    315.00000000          315.00421     10.00000000            9.85522     21.15     21.31    740.01     66.00
    320.00000000          320.00452     10.00000000            9.85292     21.15     21.31    740.01     66.00
    325.00000000          325.00492     10.00000000            9.85106     21.15     21.31    740.01     66.00
    330.00000000          330.00514     10.00000000            9.84955     21.15     21.31    740.01     66.00
    335.00000000          335.00533     10.00000000            9.84804     21.15     21.31    740.01     66.00
    340.00000000          340.00532     10.00000000            9.84642     21.15     21.31    740.01     66.00
    345.00000000          345.00496     10.00000000            9.84484     21.15     21.31    740.01     66.00
    350.00000000          350.00482     10.00000000            9.84355     21.15     21.31    740.01     66.00
      0.00000000            0.00815     15.00000000           14.99628     21.15     21.31    740.01     66.00
      5.00000000            5.00828     15.00000000           14.99449     21.15     21.31    740.01     66.00
     10.00000000           10.00863     15.00000000           14.99260     21.15     21.31    740.01     66.00
     15.00000000           15.00828     15.00000000           14.99050     21.15     21.31    740.01     66.00
     20.00000000           20.00813     15.00000000           14.98850     21.15     21.31    740.01     66.00
     25.00000000           25.00830     15.00000000           14.98633     21.15     21.31    740.01     66.00
     30.00000000           30.00816     15.00000000           14.98474     21.15     21.31    740.01     66.00
     35.00000000           35.00788     15.00000000           14.98273     21.15     21.31    740.01     66.00
     40.00000000           40.00780     15.00000000           14.98089     21.15     21.31    740.01     66.00
     45.00000000           45.00789     15.00000000           14.97882     21.15     21.31    740.01     66.00
     50.00000000           50.00804     15.00000000           14.97710     21.15     21.31    740.01     66.00
     55.00000000           55.00806     15.00000000           14.97486     21.15     21.31    740.01     66.00
     60.00000000           60.00791     15.00000000           14.97326     21.15     21.31    740.01     66.00
     65.00000000           65.00834     15.00000000           14.97115     21.15     21.31    740.01     66.00
     70.00000000           70.00841     15.00000000           14.96968     21.15     21.31    740.01     66.00
     75.00000000           75.00793     15.00000000           14.96794     21.15     21.31    740.01     66.00
     80.00000000           80.00775     15.00000000           14.96605     21.15     21.31    740.01     66.00
     85.00000000           85.00774     15.00000000           14.96367     21.15     21.31    740.01     66.00
     90.00000000           90.00800     15.00000000           14.96160     21.15     21.31    740.01     66.00
     95.00000000           95.00841     15.00000000           14.95935     21.15     21.31    740.01     66.00
    100.00000000          100.00846     15.00000000           14.95737     21.15     21.31    740.01     66.00
    105.00000000          105.00871     15.00000000           14.95515     21.15     21.31    740.01     66.00
    110.00000000          110.00872     15.00000000           14.95294     21.15     21.31    740.01     66.00
    115.00000000          115.00846     15.00000000           14.95057     21.15     21.31    740.01     66.00
    120.00000000          120.00841     15.00000000           14.94805     21.15     21.31    740.01     66.00
    125.00000000          125.00824     15.00000000           14.94488     21.15     21.31    740.01     66.00
    130.00000000          130.00821     15.00000000           14.94229     21.15     21.31    740.01     66.00
    135.00000000          135.00819     15.00000000           14.93937     21.15     21.31    740.01     66.00
    140.00000000          140.00783     15.00000000           14.93651     21.15     21.31    740.01     66.00
